Date	Type
17.5.-1998T5:47:36	P
11.11.-1998T5:15:58	P
6.5.-1997T18:57:1	T
31.10.-1997T6:54:9	T
25.4.-1996T11:57:19	P
19.10.-1996T6:0:26	P
6.3.-1994T2:7:38	P
29.8.-1994T11:25:40	P
23.2.-1993T2:59:48	T
19.8.-1993T3:45:11	T
12.2.-1992T4:9:50	P
7.8.-1992T17:18:34	P
22.12.-1991T15:38:22	T
17.6.-1990T9:59:52	T
12.12.-1990T6:49:16	T
6.6.-1989T14:31:12	T
16.4.-1987T12:20:37	P
10.10.-1987T1:4:52	P
6.4.-1986T3:30:53	T
29.9.-1986T7:21:46	T
26.3.-1985T12:28:30	P
18.9.-1985T20:27:52	P
2.2.-1983T0:35:27	P
29.7.-1983T15:17:47	P
22.1.-1982T10:3:40	T
18.7.-1982T20:21:53	T
12.1.-1981T0:54:10	P
27.5.-1980T12:41:51	P
21.11.-1980T13:37:31	P
17.5.-1979T2:13:9	T
10.11.-1979T14:56:40	T
6.5.-1978T19:21:7	P
30.10.-1978T14:5:11	P
16.3.-1976T9:4:23	P
8.9.-1976T19:47:2	P
5.3.-1975T9:52:15	T
29.8.-1975T11:55:30	T
22.2.-1974T11:25:58	P
19.8.-1974T1:1:49	P
3.1.-1972T0:18:2	T
27.6.-1972T16:31:27	P
22.12.-1972T15:28:24	T
16.6.-1971T21:23:0	T
27.4.-1969T19:44:29	P
21.10.-1969T9:12:41	P
16.4.-1968T10:42:21	T
9.10.-1968T15:47:22	T
5.4.-1967T19:16:42	P
29.9.-1967T5:2:47	P
13.2.-1965T8:8:41	P
9.8.-1965T22:45:19	P
2.2.-1964T18:10:18	T
29.7.-1964T3:15:13	T
22.1.-1963T9:20:50	P
18.7.-1963T3:25:58	P
2.12.-1962T21:54:58	P
28.5.-1961T9:31:42	T
21.11.-1961T22:58:46	T
17.5.-1960T2:43:37	P
9.11.-1960T22:13:21	P
27.3.-1958T15:49:23	P
20.9.-1958T4:17:44	P
16.3.-1957T16:35:22	T
9.9.-1957T20:13:35	T
4.3.-1956T18:36:11	P
29.8.-1956T8:51:57	P
13.1.-1954T8:52:18	T
8.7.-1954T23:9:54	P
3.1.-1953T0:0:33	T
28.6.-1953T4:23:0	T
16.6.-1952T16:52:31	P
8.5.-1951T3:6:11	P
31.10.-1951T17:24:42	P
27.4.-1950T17:47:12	T
21.10.-1950T0:19:31	T
17.4.-1949T1:57:10	P
10.10.-1949T13:44:3	P
23.2.-1947T15:33:11	P
20.8.-1947T6:19:46	P
13.2.-1946T2:8:34	T
9.8.-1946T10:16:29	T
2.2.-1945T17:38:57	P
29.7.-1945T10:15:45	P
13.12.-1944T6:9:27	P
7.6.-1943T16:52:12	T
2.12.-1943T6:59:23	T
28.5.-1942T10:5:45	T
21.11.-1942T6:22:58	P
6.4.-1940T22:28:13	P
30.9.-1940T12:54:52	P
26.3.-1939T23:10:33	T
20.9.-1939T4:38:42	T
16.3.-1938T1:37:58	P
9.9.-1938T16:49:58	P
24.1.-1936T17:18:3	T
19.7.-1936T5:56:25	P
13.1.-1935T8:25:6	T
8.7.-1935T11:29:27	T
2.1.-1934T18:10:11	P
28.6.-1934T0:16:33	P
19.5.-1933T10:25:50	P
12.11.-1933T1:40:0	P
8.5.-1932T0:48:41	T
31.10.-1932T8:56:42	T
27.4.-1931T8:31:7	P
20.10.-1931T22:30:56	P
6.3.-1929T22:51:19	P
31.8.-1929T14:2:16	P
24.2.-1928T10:0:35	T
19.8.-1928T17:25:21	T
13.2.-1927T1:49:25	P
8.8.-1927T17:15:18	P
24.12.-1926T14:16:18	P
19.6.-1925T0:17:31	T
13.12.-1925T14:55:19	T
7.6.-1924T17:29:26	T
1.12.-1924T14:32:33	P
18.4.-1922T4:58:14	P
